TimeUS,PosX,PosY,PosZ,VelX,VelY,VelZ,AccX,AccY,AccZ
12144214,1.393743,-0.596512,2.027969,-0.182992,-0.411246,-0.005010,-0.131365,0.029128,-0.003172
12344230,1.353967,-0.679937,2.027493,-0.210400,-0.410545,-0.003240,-0.132325,0.023460,-0.000068
12544231,1.307859,-0.761435,2.026059,-0.239872,-0.402811,-0.005659,-0.135295,0.027434,-0.002834
12744287,1.262933,-0.832096,2.026856,-0.251194,-0.371041,-0.001041,-0.118580,0.055819,0.002503
12944217,1.213430,-0.898901,2.027550,-0.266765,-0.343137,0.001873,-0.110181,0.073288,0.005127
13144363,1.159175,-0.963933,2.028419,-0.282697,-0.318833,0.003041,-0.102495,0.084999,0.004587
13344191,1.097952,-1.029624,2.027374,-0.312060,-0.313130,-0.001815,-0.113059,0.072058,-0.002253
13544214,1.029801,-1.096505,2.026133,-0.343546,-0.313658,-0.004637,-0.122000,0.056679,-0.004833
13744230,0.964108,-1.154128,2.027784,-0.353254,-0.292246,0.003005,-0.106561,0.066790,0.005259
13944737,0.890308,-1.209206,2.029432,-0.373235,-0.269171,0.006305,-0.104214,0.077634,0.007424
14144227,0.817717,-1.256795,2.030030,-0.381377,-0.239882,0.005444,-0.089493,0.093195,0.004837
14344381,0.737317,-1.304271,2.030398,-0.406760,-0.225312,0.003698,-0.098325,0.088528,0.001621
14544244,0.653666,-1.346051,2.029600,-0.425754,-0.201716,-0.000804,-0.097071,0.095553,-0.003878
14744200,0.577563,-1.380156,2.030029,-0.413286,-0.170476,0.000922,-0.061885,0.108659,-0.000745
14944206,0.488686,-1.411833,2.030495,-0.439457,-0.148298,0.002732,-0.076655,0.108972,0.002149
15144215,0.404102,-1.437063,2.033844,-0.438123,-0.119185,0.011009,-0.057320,0.117104,0.010692
15344353,0.314132,-1.457435,2.033849,-0.454412,-0.093271,0.006149,-0.063511,0.119355,0.002970
15544224,0.218305,-1.473321,2.031135,-0.476121,-0.068292,-0.004370,-0.072321,0.120531,-0.008882
15744207,0.127183,-1.485649,2.032874,-0.475596,-0.047187,0.001425,-0.056488,0.117324,-0.000883
15944207,0.035558,-1.491152,2.033617,-0.472965,-0.019077,0.002672,-0.041126,0.122373,0.000721
16144212,-0.052583,-1.488702,2.033571,-0.460099,0.016740,0.000469,-0.017946,0.135047,-0.002282
16344190,-0.142379,-1.481059,2.033202,-0.451611,0.048739,-0.002125,-0.004182,0.140348,-0.005285
16544296,-0.234214,-1.469974,2.034575,-0.456203,0.072869,0.001973,-0.008626,0.136137,0.000175
16744221,-0.323179,-1.451721,2.033112,-0.451574,0.102050,-0.002024,-0.002097,0.137752,-0.003362
16944224,-0.415476,-1.427409,2.032176,-0.457882,0.131333,-0.001738,-0.008786,0.138569,-0.000714
17144258,-0.498607,-1.401598,2.032468,-0.431862,0.149115,0.000120,0.022529,0.127313,0.001561
17344219,-0.584783,-1.367650,2.032465,-0.428883,0.178934,0.000914,0.020349,0.131966,0.002512
17544212,-0.666114,-1.327960,2.032279,-0.412836,0.208710,0.000482,0.033712,0.135522,0.001653
17744209,-0.743251,-1.284125,2.031976,-0.390874,0.233013,-0.000124,0.050315,0.132047,0.000839
17944199,-0.821662,-1.234415,2.033159,-0.384690,0.260882,0.003538,0.045862,0.133717,0.004736
18144199,-0.893353,-1.181264,2.034580,-0.362341,0.282361,0.006371,0.060752,0.127717,0.006881
18344210,-0.964758,-1.120421,2.033842,-0.351016,0.313001,0.001664,0.059590,0.133244,0.000239
18544240,-1.030430,-1.059708,2.033990,-0.328964,0.326063,0.001299,0.070521,0.118284,-0.000119
18744206,-1.087628,-0.999252,2.033515,-0.295386,0.329640,0.000007,0.091041,0.096551,-0.000920
18944209,-1.147663,-0.927589,2.034260,-0.285869,0.360546,0.002204,0.081036,0.109699,0.001833
19144220,-1.202016,-0.854550,2.036881,-0.265127,0.376624,0.009439,0.086202,0.102215,0.009843
19344291,-1.247581,-0.776858,2.035823,-0.231864,0.397916,0.003220,0.103470,0.103125,0.001396
19544217,-1.291448,-0.693499,2.037727,-0.209368,0.422934,0.006453,0.105838,0.107551,0.004223
19744184,-1.329232,-0.609558,2.039098,-0.183275,0.437450,0.007605,0.110743,0.100584,0.004773
19944219,-1.364635,-0.520232,2.041885,-0.162365,0.454486,0.011512,0.109293,0.097034,0.007751
20144283,-1.389878,-0.437304,2.043191,-0.125673,0.443898,0.009837,0.125740,0.063250,0.004249
20344311,-1.410739,-0.352294,2.045514,-0.095965,0.442887,0.011778,0.130419,0.048837,0.005646
20544221,-1.428102,-0.258600,2.045670,-0.071204,0.462422,0.005650,0.128998,0.059401,-0.002720
20744189,-1.440564,-0.168643,2.046164,-0.048115,0.465184,0.003852,0.125729,0.050399,-0.003772
20944284,-1.446444,-0.073221,2.044463,-0.019260,0.478695,-0.003645,0.129908,0.053811,-0.011059
21144439,-1.447647,0.012154,2.045030,0.007108,0.453866,-0.001606,0.130449,0.013133,-0.006478
21344527,-1.444579,0.096113,2.046225,0.030348,0.437652,0.001946,0.127162,-0.006071,-0.001064
21544225,-1.434334,0.189924,2.045189,0.059198,0.454316,-0.000670,0.130058,0.013137,-0.002619
21744193,-1.417834,0.277307,2.042939,0.090516,0.446054,-0.006449,0.135472,0.001127,-0.007933
21944442,-1.394206,0.370623,2.040030,0.124831,0.451952,-0.012221,0.142764,0.007305,-0.012527
22144377,-1.369758,0.454311,2.040497,0.144164,0.432422,-0.006922,0.132934,-0.016733,-0.004768
22344237,-1.337437,0.539876,2.038811,0.173696,0.428674,-0.008518,0.136558,-0.016335,-0.005531
22544188,-1.297725,0.627993,2.037161,0.207147,0.431292,-0.010053,0.143150,-0.010923,-0.006663
22744255,-1.256576,0.707882,2.036528,0.226809,0.411516,-0.007493,0.133353,-0.030166,-0.002688
22944169,-1.209383,0.789279,2.036118,0.251288,0.404970,-0.004648,0.131103,-0.030516,0.001063
23144172,-1.159255,0.860897,2.034244,0.268782,0.372093,-0.007402,0.120972,-0.060989,-0.002333
23344290,-1.102754,0.933147,2.034074,0.294243,0.357778,-0.003816,0.122713,-0.062610,0.002208
23544230,-1.041219,1.006206,2.035881,0.318632,0.352502,0.003930,0.121950,-0.055214,0.010226
23744231,-0.975506,1.071885,2.033678,0.342182,0.331590,-0.002362,0.121364,-0.065458,0.001649
23944150,-0.902562,1.137395,2.035062,0.372291,0.319174,0.003061,0.127878,-0.064926,0.007154
24144303,-0.832929,1.191253,2.036361,0.374196,0.279476,0.006290,0.100752,-0.094805,0.009281
24344184,-0.761315,1.239808,2.038557,0.379323,0.245207,0.010372,0.084256,-0.111413,0.011779
24544166,-0.683453,1.285416,2.041068,0.396307,0.218641,0.012876,0.083842,-0.116726,0.011610
24744187,-0.609712,1.322133,2.042030,0.390479,0.180221,0.008844,0.058908,-0.133317,0.003968
24944442,-0.524748,1.359194,2.037210,0.419270,0.164209,-0.009659,0.078102,-0.121499,-0.017235
25144166,-0.441370,1.393497,2.041431,0.417370,0.146534,0.006597,0.056272,-0.113628,0.005180
25344231,-0.357024,1.424798,2.046839,0.430095,0.135295,0.016841,0.059395,-0.101469,0.013860
25544218,-0.265081,1.447153,2.044791,0.452767,0.105909,0.003009,0.070181,-0.111950,-0.004516
25744171,-0.179161,1.461096,2.044344,0.450566,0.069415,-0.000501,0.053173,-0.127216,-0.007285
25944184,-0.084898,1.471478,2.047114,0.470490,0.040561,0.005561,0.063638,-0.131397,0.000188
26144355,0.002409,1.473476,2.044482,0.458561,0.005556,-0.002227,0.035691,-0.140044,-0.006370
26344169,0.094226,1.472791,2.043402,0.464531,-0.019860,-0.005215,0.034896,-0.137359,-0.008414
26544186,0.189025,1.464485,2.045082,0.473550,-0.052156,0.001133,0.036164,-0.142831,0.000144
26744170,0.276888,1.453542,2.048320,0.460489,-0.074863,0.008460,0.014941,-0.137021,0.007211
26944167,0.367539,1.434347,2.047522,0.459092,-0.106138,0.002981,0.010562,-0.140993,0.000073
27144208,0.451874,1.410115,2.046486,0.436220,-0.134398,-0.001871,-0.018073,-0.140751,-0.005372
27344194,0.532003,1.382725,2.045159,0.415875,-0.156040,-0.004406,-0.034606,-0.133722,-0.006353
27544178,0.618359,1.345885,2.040878,0.419395,-0.190418,-0.014068,-0.023276,-0.141563,-0.014885
27744398,0.698344,1.308516,2.041795,0.404854,-0.208849,-0.005795,-0.033969,-0.130976,-0.002770
27944205,0.780913,1.263148,2.042361,0.404737,-0.237300,-0.000363,-0.026726,-0.133011,0.004396
28144199,0.855332,1.213367,2.040930,0.380616,-0.261199,-0.002714,-0.048371,-0.128856,0.001503
28344180,0.926697,1.160737,2.040178,0.355900,-0.277721,-0.002967,-0.064272,-0.118090,0.000965
28544183,0.996836,1.104031,2.039069,0.344344,-0.298213,-0.004393,-0.062453,-0.114885,-0.000859
28744175,1.060739,1.044945,2.037294,0.321730,-0.313274,-0.006535,-0.073178,-0.106387,-0.002625
28944169,1.124906,0.978159,2.037775,0.308738,-0.337719,-0.001216,-0.071400,-0.108972,0.004160
29144167,1.184056,0.906839,2.036184,0.290466,-0.361725,-0.002835,-0.076180,-0.109829,0.002578
29344196,1.239277,0.831525,2.035647,0.271865,-0.386702,-0.002472,-0.079523,-0.113658,0.002347
29544276,1.290323,0.752510,2.035698,0.250562,-0.406314,0.000349,-0.085682,-0.109292,0.005586
29744184,1.331568,0.678874,2.037423,0.210841,-0.396475,0.005936,-0.110189,-0.073851,0.010533
